organization,yof,badge,zip_code,city,regular,retro,other,overtime,injured,detail,quinn,total,rank,ia_score,ia_sustained_conduct_unbecoming,ia_sustained_neg_duty,ia_sustained_respectful_treatment,ia_sustained_self_identification,ia_sustained_use_of_force,ia_sustained_details,ia_sustained_cases,ia_sustained_allegations,ia_cases,ia_allegations,field_contacts_count,incidents_count,complaints_count,swats_count,details_count,citations_count,articles_officers_count,rounded_total
D-14 DCU SQUAD,25,,2124,Boston,127166.62,0,16690.81,37850.87,0,0,31618.13,213326.43,lieut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,215000
District 02,12,6435,2132,West Roxbury,97966.42,0,850,70035.43,0,44528,0,213379.85,ptl,2,0,0,0,0,0,0,1,1,2,2,132,674,2,0,123,29,0,215000
District 06,21,1977,2359,Pembroke,128210.06,0,1570.24,28540.82,0,24804,30368.81,213493.93,sergt,2,0,0,0,0,0,0,1,1,2,2,0,0,2,0,59,0,0,215000
Recruit Investigations Unit,24,,2126,Mattapan,110559.43,0,16812.83,86317.15,0,0,0,213689.41,det,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,215000
District 04,15,4204,2124,Boston,102725.16,0,800,72783.35,0,16994,20479.73,213782.24,sergt,3,0,0,1,0,0,0,1,2,3,6,3,57,3,0,50,0,7,215000
Special Events Management,33,,2021,Canton,136829.66,0,9609.67,40027.86,0,0,27365.9,213833.09,lieut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,215000
Sexual Assault Unit,25,,2122,Boston,136723.26,0,5189.12,42699.02,0,29362,0,213973.4,sgtdet,0,0,0,0,0,0,0,0,0,1,1,0,18,1,0,71,1,2,215000
Court Unit,33,,2124,Boston,97004.15,0,10814.9,54100.56,0,32936,19400.84,214256.45,ptl,0,0,0,0,0,0,0,0,0,0,0,2,117,0,0,88,0,0,215000
Medically Incapacitated Unit,29,,2119,Boston,106035.82,0,10756.6,55703.92,0,41768,0,214264.34,ptl,3,0,0,1,0,0,0,1,1,1,1,1,116,1,0,112,27,1,215000
District 05,32,,2136,Hyde Park,99440.27,0,4354.41,44506.88,0,46230,19887.96,214419.52,ptl,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,127,0,3,215000
District 13,31,6475,2364,Kingston,88401.2,0,12746.18,35197.72,46237.44,31906,0,214488.54,sergt,2,0,0,0,0,0,1,1,1,3,4,0,0,3,0,75,0,2,215000
District 14,31,1853,2081,Walpole,97906.77,0,9696.04,66337.82,1091.5,29670,9899.9,214602.03,ptl,0,0,0,0,0,0,0,0,0,1,1,10,538,1,0,88,8,0,215000
District 11,34,6016,2127,Boston,107940.45,0,5870.75,81460.96,0,19412,0,214684.16,ptl,0,0,0,0,0,0,0,0,0,0,0,1,214,0,0,50,5,1,215000
Homicide Unit,31,6735,2043,Hingham,127450.68,0,8330.41,46405.31,0,7155,25361.99,214703.39,ltdet,0,0,0,0,0,0,0,0,0,1,1,9,11,1,0,19,10,2,215000
D-4 Detective,15,633,2136,Hyde Park,98164.91,0,4323.21,48131.79,0,39560,24541.21,214721.12,det,1,0,0,0,0,0,0,0,0,3,3,6,141,3,0,119,0,1,215000
B-2 DCU SQUAD,24,,2339,Hanover,125265.99,0,4368.23,38879.36,0,15741,30647.28,214901.86,sergt,0,0,0,0,0,0,0,0,0,1,1,10,65,1,0,36,0,0,215000
District 06,31,4098,2128,Boston,97004.15,0,9465.14,38192.7,0,51198,19400.84,215260.83,ptl,1,0,0,0,0,0,0,0,0,2,2,54,176,2,0,174,1,146,215000
Mobile Operations Patrol Unit,25,,2118,Boston,96687.59,0,14187.78,93750.78,0,1288,9668.93,215583.08,ptl,3,0,1,0,0,0,0,1,1,5,7,0,1,5,108,4,0,40,215000
District 03,17,2557,2136,Hyde Park,102552.44,0,3414.65,78866.36,0,5566,25638.09,216037.54,sergt,2,0,0,0,0,0,0,1,1,2,2,0,8,2,0,16,0,19,215000
Canine Unit,14,,2186,Milton,92260.17,0,9915.52,11199.78,0,84318,18452.08,216145.55,ptl,1,0,0,0,0,0,0,0,0,4,6,47,1,4,0,243,0,1,215000
Mobile Operations Patrol Unit,25,950,2038,Franklin,118452.28,0,1164.06,72472.29,0,424,23690.56,216203.19,sergt,0,0,0,0,0,0,0,0,0,0,0,0,2,0,34,1,2,0,215000
Medically Incapacitated Unit,25,,2122,Boston,97075.88,0,800,54164.45,361.32,44436,19487.29,216324.94,ptl,3,0,1,0,0,0,1,4,5,6,8,0,302,6,0,125,5,1,215000
Sexual Assault Unit,24,,1887,Wilmington,106447.73,0,800,83125.14,0,0,26287,216659.87,det,1,0,0,0,0,0,0,0,0,2,2,1,21,2,0,0,0,17,215000
Mobile Operations Patrol Unit,16,4550,2062,Norwood,133774,0,1082.14,41132.81,0,7590,33328.46,216907.41,lieut,2,0,0,0,0,0,0,0,0,9,13,0,1,9,0,19,0,2,215000
Crimes Against Children Unit,34,,2131,Roslindale,125790.21,0,14872.54,51171.45,0,0,25107.01,216941.21,sgtdet,1,0,0,0,0,0,0,0,0,2,3,0,7,2,0,0,0,1,215000
A-1 Detective,24,,2136,Hyde Park,111583.91,0,2346.52,103033.97,0,0,0,216964.4,det,2,0,1,0,0,0,1,1,2,5,12,2,180,5,0,0,8,6,215000
District 06,24,2187,2184,Braintree,105207,0,5548.26,58515.1,0,26680,21041.51,216991.87,sergt,2,0,0,0,0,0,0,1,1,5,8,0,170,5,0,69,2,2,215000
District 02,21,5074,2126,Mattapan,105988.86,0,3857.37,16655.14,0,90528,0,217029.37,ptl,0,0,0,0,0,0,0,0,0,0,0,1,158,0,0,254,0,0,215000
District 05,33,807,2131,Roslindale,98998.27,0,800,53300.67,0,44206,19799.56,217104.5,ptl,2,0,0,0,0,0,0,1,1,4,6,0,349,4,0,125,31,1,215000
Medically Incapacitated Unit,29,,2186,Milton,74233.82,0,8788.43,74790.38,25095.95,14490,19865.86,217264.44,ptl,2,0,0,0,0,0,0,1,2,1,5,0,2,1,24,34,0,9,215000
Medically Incapacitated Unit,15,5171,2132,West Roxbury,123178.55,0,800,67993.99,0,1272,24086.28,217330.82,sergt,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,3,0,1,215000
Comm. Vehicle Unit,19,,2136,Hyde Park,103108.53,0,800,33611.74,0,79948,0,217468.27,ptl,2,0,0,0,0,0,0,2,2,4,4,0,25,4,36,225,20,1,215000
Street Outreach Team,32,,2122,Boston,173111.13,0,23073.85,0,3886,0,17699.79,217770.77,depsup,3,0,0,1,0,0,0,2,2,4,7,0,2,4,0,0,0,8,220000
A-1 Detective,34,,2132,West Roxbury,103820.71,0,21022.82,15331.36,0,51658,25955.24,217788.13,det,2,0,0,0,0,0,0,1,2,3,5,1,0,3,0,208,0,3,220000
Bicycle Unit,22,,2136,Hyde Park,121474.67,0,7695.03,50641.42,0,7632,30368.81,217811.93,sergt,3,1,0,0,0,0,0,1,1,6,11,0,0,6,0,19,0,1,220000
Medically Incapacitated Unit,24,1772,2081,Walpole,122351.47,0,1158.32,65022.49,0,0,30054,218586.28,sergt,2,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,4,220000
C-6 Detective,33,,2124,Boston,113707.18,0,850,59794.06,0,44436,0,218787.24,det,1,0,0,0,0,0,0,0,0,2,2,0,31,2,0,120,0,2,220000
District 11,31,4377,2130,Jamaica Plain,107498.45,0,850,109607.67,0,1196,0,219152.12,ptl,5,2,4,3,0,0,0,15,22,30,50,9,462,30,0,3,16,8,220000
Auto Theft Unit,19,701,2081,Walpole,125534.33,0,19178.94,43224.51,0,0,31383.77,219321.55,sgtdet,1,0,0,0,0,0,0,0,0,4,5,1,15,4,0,0,62,4,220000
Medically Incapacitated Unit,18,5696,2121,Boston,112799.45,0,800,70056.71,4444.96,2385,28857.54,219343.66,sergt,2,0,0,0,0,0,0,0,0,9,12,16,149,9,0,6,22,2,220000
Auditing and Review Unit,34,,2171,Quincy,143385.44,0,20761.73,19429.32,0,0,35846.55,219423.04,ltdet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,220000
A-1 DCU SQUAD,33,,2043,Hingham,71208.92,0,7772.84,50861.8,57574.85,0,32196.01,219614.42,sgtdet,2,0,0,0,0,0,0,1,1,6,7,52,28,6,0,0,0,10,220000
District 06,19,,2127,Boston,136361.78,0,1158.32,50554.08,0,4400,27198.74,219672.92,lieut,1,0,0,0,0,0,0,0,0,3,3,2,0,3,0,7,0,1,220000
District 01,33,,2190,Weymouth,123745.05,0,800,23965.33,0,59148,12079.9,219738.28,sergt,4,0,1,1,0,0,1,4,5,9,10,0,58,9,0,156,3,3,220000
Medically Incapacitated Unit,29,4848,2370,Rockland,73197.47,0,10965.77,78605.57,40509.71,16560,0,219838.52,det,1,0,0,0,0,0,0,0,0,2,2,0,64,2,0,44,0,1,220000
Operations Division,30,,2132,West Roxbury,121059.63,0,13924.26,42516.41,0,12084,30264.96,219849.26,sergt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,220000
Harbor Patrol Unit,33,190,2184,Braintree,125112.02,0,1078.55,16329.15,0,52788,24556.93,219864.65,sergt,2,0,0,0,0,0,1,1,1,3,3,0,3,3,0,124,0,1,220000
District 01,34,,2171,Quincy,97004.15,0,32084.22,11691.86,0,60352,19400.84,220533.07,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,73,220000
Medically Incapacitated Unit,35,,2184,Braintree,98998.27,0,11415.25,7627.3,0,92736,9899.9,220676.72,ptl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,250,1,0,220000
D-14 Detective,26,5036,2050,Marshfield,123495.58,0,1376.18,61883.18,0,9328,24699.26,220782.2,sgtdet,3,1,0,0,0,0,1,3,3,4,7,1,1,4,0,24,0,0,220000
Technology Services Division,14,,2021,Canton,121611.77,0,13361.24,55447.48,0,0,30403.02,220823.51,sgtdet,3,0,0,0,0,0,0,1,1,1,1,7,5,1,0,0,0,0,220000
District 02,33,,2125,Boston,106524.44,0,800,59348.93,0,54418,0,221091.37,ptl,4,0,1,1,0,0,0,3,6,7,10,0,177,7,0,152,15,0,220000
Homicide Unit,22,,2081,Walpole,132990.92,0,850,66051.4,0,21200,0,221092.32,sgtdet,4,0,1,0,0,0,0,5,5,18,20,1,37,18,0,52,4,7,220000
District 11,8,,2124,Boston,92077.38,0,800,43384.57,0,66424,18415.44,221101.39,ptl,2,0,0,0,0,0,1,1,1,1,1,2,502,1,0,195,1,0,220000
District 01,32,,2026,Dedham,98543.48,0,9203.74,43007.52,0,50692,19708.6,221155.34,ptl,1,0,0,0,0,0,0,0,0,2,2,2,442,2,0,134,261,0,220000
Special Oper. Support Group,26,5402,2370,Rockland,137068.78,0,20094.4,19001.54,0,10890,34131.33,221186.05,lieut,3,0,1,1,0,0,0,1,2,3,4,0,0,3,0,27,0,0,220000
District 01,33,1406,1826,Dracut,98555.97,0,850,17115.2,0,80086,24638.97,221246.14,ptl,0,0,0,0,0,0,0,0,0,1,1,1,354,1,0,233,9,2,220000
District 06,24,4238,2343,Holbrook,98315.7,0,4314.01,76437.97,0,22586,19662.99,221316.67,ptl,0,0,0,0,0,0,0,0,0,1,2,8,679,1,0,61,53,1,220000
Crime Scene Response Unit,26,914,2382,Whitman,106888.21,0,800,100122.93,0,13616,0,221427.14,ptl,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,44,0,0,220000
E-13 DCU SQUAD,15,,2093,Wrentham,98406.32,0,2911.51,91828.52,0,28336,0,221482.35,ptl,1,0,0,0,0,0,0,0,0,3,5,10,236,3,0,80,4,2,220000
Homicide Unit,31,,2492,Needham,105207,0,4558.61,85462.96,0,0,26301.82,221530.39,det,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,3,220000
Field Operations Group,34,,1746,Holliston,102552.44,0,15455.15,62324.61,0,15640,25638.09,221610.29,det,0,0,0,0,0,0,0,0,0,1,1,2,38,1,0,38,0,0,220000
District 14,24,,2131,Roslindale,98315.7,0,850,58946.54,0,39054,24579.02,221745.26,ptl,3,0,0,0,0,0,2,3,3,3,3,1,369,3,0,100,0,2,220000
District 01,32,,2494,Needham,137378.08,0,1692.97,48014.46,0,440,34231.32,221756.83,lieut,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,1,0,0,220000
Operations Division,17,74,2132,West Roxbury,95896.3,0,1158.32,48693.56,47558.26,0,28455.34,221761.78,lieut,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,220000
District 07,31,,1835,Haverhill,107498.45,0,800,72580.21,0,40894,0,221772.66,ptl,3,0,0,0,0,0,1,3,3,6,7,0,158,6,0,109,0,0,220000
District 18,31,,1742,Concord,98998.27,0,800,15983.99,0,86204,19799.56,221785.82,ptl,1,0,0,0,0,0,0,0,0,2,2,0,11,2,0,243,0,1,220000
Court Unit,29,,2136,Hyde Park,106035.82,0,14549.59,81240.02,0,19964,0,221789.43,ptl,4,0,0,1,0,0,0,3,4,4,6,0,57,4,0,70,12,1,220000
District 13,25,6411,2136,Hyde Park,98757.7,0,2565.01,33200.81,0,62652,24689.52,221865.04,ptl,2,0,0,0,0,0,0,1,1,1,1,0,97,1,0,170,0,7,220000
Medically Incapacitated Unit,28,,2132,West Roxbury,125531.29,0,850,54952.33,0,16218,24452.8,222004.42,sergt,1,0,0,0,0,0,0,0,0,2,2,42,7,2,0,41,0,4,220000
District 06,31,4285,2127,Boston,97004.15,0,800,60344.91,0,54234,9700.44,222083.5,ptl,2,0,0,0,0,0,0,1,1,1,1,4,303,1,0,159,3,6,220000
District 05,26,3262,2132,West Roxbury,98315.7,0,800,63615.1,0,35006,24579.02,222315.82,ptl,0,0,0,0,0,0,0,0,0,1,2,9,235,1,0,98,0,3,220000
District 02,24,260,2026,Dedham,125534.33,0,11673.98,54057.41,0,0,31383.77,222649.49,lieut,3,0,1,0,0,0,0,1,1,8,10,1,5,8,0,0,2,2,225000
D-14 DCU SQUAD,24,4179,2186,Milton,105207,0,4608.61,57436.74,0,34500,21041.51,222793.86,det,3,0,1,0,0,0,0,1,1,1,2,0,38,1,0,88,0,2,225000
C-11 DCU SQUAD,23,,2132,West Roxbury,98315.7,0,5631.76,66581.22,0,32614,19662.99,222805.67,ptl,1,0,0,0,0,0,0,0,0,2,2,10,211,2,0,92,3,0,225000
Sexual Assault Unit,31,,1887,Wilmington,130083.77,0,11878.33,55891.26,0,0,25756.71,223610.07,sgtdet,1,0,0,0,0,0,0,0,0,3,6,17,14,3,0,0,0,5,225000
Medically Incapacitated Unit,24,2803,2186,Milton,104690.5,0,3140.48,52543.38,0,63526,0,223900.36,ptl,0,0,0,0,0,0,0,0,0,1,1,0,229,1,0,161,1,1,225000
Hackney Carriage Unit,33,125,2359,Pembroke,171452.24,0,10847.82,41668.55,0,0,0,223968.61,capt,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,4,225000
District 13,34,6513,2032,East Walpole,157520.65,0,19873.12,7030.91,0,480,39380.12,224284.8,capt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,225000
Homicide Unit,31,,2081,Walpole,125534.33,0,6374.97,67575.6,0,0,25107.01,224591.91,sgtdet,3,0,1,0,0,0,0,1,1,2,2,0,1,2,0,0,0,6,225000
Homicide Unit,13,5117,2136,Hyde Park,110807.89,0,7079.53,74428.85,0,4830,27702.04,224848.31,sgtdet,3,0,1,0,0,0,0,1,2,1,3,8,6,1,0,14,1,0,225000
Homicide Unit,13,,2122,Boston,99109.54,0,4323.21,101678.25,0,0,19821.82,224932.82,det,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,225000
Domestic Violence Unit,23,,2131,Roslindale,102552.44,0,10875.41,50020.17,0,41308,20510.59,225266.61,det,1,0,0,0,0,0,0,0,0,3,4,0,41,3,0,152,1,0,225000
District 06,24,756,2127,Boston,124757.83,0,1926.18,66455.4,2222.48,18709,11245.36,225316.25,sergt,2,0,0,0,0,0,0,1,2,1,2,23,8,1,0,44,0,1,225000
District 07,31,,2127,Boston,99440.27,0,7464.53,19027.26,0,79626,19887.96,225446.02,ptl,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,192,0,0,225000
District 14,19,,2127,Boston,136036.71,0,1356.77,22754.82,0,51755,13603.66,225506.96,lieut,5,0,0,0,0,0,0,1,1,4,5,0,0,4,0,117,2,1,225000
Evidence Control Unit,13,4728,2324,Bridgewater,93735.82,0,800,62434.14,0,49818,18747.29,225535.25,ptl,2,0,0,0,0,0,0,1,1,3,3,1,203,3,0,132,0,0,225000
District 06,14,,2126,Mattapan,94156.49,0,850,28566.89,0,83398,18831.42,225802.8,ptl,2,0,0,0,0,0,1,1,1,3,4,1,40,3,0,241,0,1,225000
Drug Control Unit,34,,2061,Norwell,125534.33,0,18795.15,50425.02,0,0,31383.77,226138.27,sgtdet,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,225000
District 03,23,3476,2126,Mattapan,111583.91,0,6786.06,107933.47,0,0,0,226303.44,sergt,0,0,0,0,0,0,0,0,0,1,2,1,37,1,0,0,0,3,225000
District 04,15,3100,2052,Medfield,122316.8,0,3773.51,50986.63,0,19663,29825.06,226565,sergt,2,0,0,0,0,0,0,1,1,1,1,1,11,1,0,54,2,3,225000
District 07,13,2855,2122,Boston,102470.93,0,4414.41,78177.72,0,21528,20234.06,226825.12,sergt,4,0,0,0,0,1,0,1,2,2,7,0,3,2,0,81,0,0,225000
Mobile Operations Patrol Unit,25,,2127,Boston,130527.35,0,1728.34,94666.67,0,0,0,226922.36,sergt,4,1,1,1,0,0,0,2,5,5,11,1,0,5,19,0,0,3,225000
District 04,33,,2136,Hyde Park,98729.86,0,12640.99,83497.47,0,22264,9873.03,227005.35,ptl,2,0,0,0,0,0,1,1,1,1,1,1,137,1,0,51,5,0,225000
District 04,25,1942,2136,Hyde Park,145850.7,0,20710.22,52337.34,0,8140,0,227038.26,lieut,1,0,0,0,0,0,0,0,0,2,2,0,2,2,1,23,0,1,225000
District 14,17,,2050,Marshfield,104690.5,0,800,72699.4,0,49266,0,227455.9,ptl,0,0,0,0,0,0,0,0,0,0,0,1,165,0,0,140,0,3,225000
Sexual Assault Unit,20,2329,2124,Boston,137904.05,0,7337.29,44482.51,0,3960,33993.51,227677.36,ltdet,1,0,0,0,0,0,0,0,0,2,5,0,2,2,0,9,0,1,230000
Special Investigation Unit,34,,2184,Braintree,125534.33,0,16368.45,46440.09,0,14257,25107.01,227706.88,sgtdet,1,0,0,0,0,0,0,0,0,4,5,0,3,4,0,36,0,0,230000
Licensing Unit,34,419,2132,West Roxbury,142743.13,0,9792.4,39528.78,0,0,35685.98,227750.29,ltdet,1,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,230000
Youth Violence Strike Force,24,,2132,West Roxbury,125534.33,0,11772.5,59129.25,0,0,31383.77,227819.85,sgtdet,2,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,3,1,230000
Mobile Operations Patrol Unit,18,1961,2359,Pembroke,118996.54,0,5680.22,78891.08,0,530,23799.41,227897.25,sergt,0,0,0,0,0,0,0,0,0,1,1,7,5,1,51,1,2,0,230000
Fugitive Section,26,,2021,Canton,134565.67,0,19145.29,72666.26,0,1537,0,227914.22,sgtdet,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,2,230000
Mobile Operations Patrol Unit,31,,2301,Brockton,107829.95,0,9530.75,103250.57,0,7360,0,227971.27,ptl,5,1,1,0,0,0,0,3,5,9,13,0,0,9,74,38,15,3,230000
Court Unit,34,637,2324,Bridgewater,105561.7,0,7961.86,97594.23,0,16928,0,228045.79,ptl,5,0,5,3,0,1,0,9,13,24,41,0,186,24,0,48,5,12,230000
District 02,32,4635,2170,Quincy,110623.12,0,3199.13,88894.07,0,3392,22006.1,228114.42,sergt,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,3,230000
Mobile Operations Patrol Unit,25,1882,2038,Franklin,122027.17,0,5303.99,75115.29,0,1325,24405.54,228176.99,sergt,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,3,2,1,230000
District 07,32,1468,2052,Medfield,123306.97,0,5389.41,48814.94,0,26023,24661.29,228195.61,lieut,1,0,0,0,0,0,0,0,0,3,4,0,0,3,0,52,0,5,230000
District 07,5,161,2129,Charlestown,89997.76,0,800,26485.33,0,110952,0,228235.09,ptl,2,0,0,0,0,0,1,1,1,1,1,3,131,1,0,324,56,0,230000
D-4 Detective,32,,2090,Westwood,130868.56,0,5015.56,64172.88,0,3074,25107.01,228238.01,sgtdet,1,0,0,0,0,0,0,0,0,2,2,12,5,2,0,7,0,3,230000
Academy,25,1408,2030,Dover,118789.42,0,13199.86,66642.92,0,0,29697.4,228329.6,sergt,5,1,0,0,0,0,0,1,3,5,9,0,4,5,0,0,0,4,230000
Youth Violence Strike Force,22,1755,2132,West Roxbury,111581.73,0,4839.37,111679.07,0,368,0,228468.17,det,1,0,0,0,0,0,0,0,0,2,2,6,104,2,0,1,0,9,230000
District 04,7,,2124,Boston,94122.45,0,800,56190.12,0,77418,0,228530.57,ptl,2,0,0,0,0,0,0,2,2,2,2,57,238,2,0,209,0,0,230000
A-1 Detective,32,2869,2124,Boston,105207,0,10196.52,84726.21,0,7360,21041.51,228531.24,det,0,0,0,0,0,0,0,0,0,1,1,0,57,1,0,23,16,1,230000
Dignitary Protection Unit,26,3572,2131,Roslindale,89488.66,0,6189.88,69420.89,32942.98,0,30608.11,228650.52,sergt,2,0,0,0,0,0,0,1,2,1,4,0,0,1,0,0,0,0,230000
District 05,35,,2062,Norwood,97004.15,0,12497.93,80369.71,0,19872,19400.84,229144.63,ptl,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,74,0,0,230000
District 03,13,,2038,Franklin,120458.17,0,6416.23,31673.21,0,47064,23537.12,229148.73,sergt,2,0,0,0,0,0,0,0,0,5,6,196,19,5,0,116,1,1,230000
Special Investigation Unit,26,,2124,Boston,102552.44,0,6345.68,87481.24,0,12328,20510.59,229217.95,det,3,0,1,0,0,0,0,1,1,4,5,0,50,4,0,36,0,0,230000
A-7 DCU SQUAD,33,275,2132,West Roxbury,119602.9,0,7289.75,59941.06,0,12561,29900.81,229295.52,sergt,2,0,0,0,0,0,0,0,0,5,9,0,14,5,0,38,1,2,230000
C-11 DCU SQUAD,24,,2126,Mattapan,104690.5,0,6417.16,86750.6,0,31694,0,229552.26,ptl,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,91,0,0,230000
Canine Unit,24,,2132,West Roxbury,133135.37,0,876.18,43891.05,0,51675,0,229577.6,sergt,3,0,1,1,0,0,0,1,3,2,5,0,3,2,0,129,16,4,230000
Boston Region Intel Ctr (BRIC),31,,2476,Arlington,125534.33,0,19157,47022.76,0,6837,31383.77,229934.86,sgtdet,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,230000
E-18 DCU SQUAD,14,2486,2132,West Roxbury,80487.98,0,10475.38,33394.71,13668.51,68494,23539.21,230059.79,ptl,3,0,1,0,0,0,0,1,1,1,2,1,156,1,0,185,0,1,230000
Homicide Unit,27,,2301,Brockton,113707.18,0,14523.79,102035.26,0,0,0,230266.23,det,2,0,0,0,0,0,0,1,2,5,7,0,1,5,0,0,1,21,230000
District 07,31,1909,1906,Saugus,99440.27,0,8353.13,56829.16,0,46460,19887.96,230970.52,ptl,2,0,0,0,0,0,0,0,0,5,8,66,184,5,0,137,10,2,230000
District 01,38,,2169,Quincy,98998.27,0,4338.41,9577.85,0,98302,19799.56,231016.09,ptl,4,0,1,0,0,0,0,2,2,4,5,0,0,4,0,345,0,291,230000
Boston Region Intel Ctr (BRIC),24,,2127,Boston,113707.18,0,9440.9,46196.85,0,61732,0,231076.93,det,2,0,0,0,0,0,0,1,1,4,9,3,8,4,0,172,2,2,230000
Homicide Unit,31,4545,2339,Hanover,130930.49,0,19521.44,52791.83,0,0,28009.65,231253.41,sgtdet,1,0,0,0,0,0,0,0,0,2,2,0,5,2,0,0,0,0,230000
District 14,33,2567,2032,East Walpole,121789.8,0,8805.54,44368.15,0,32542,23803.19,231308.68,sergt,0,0,0,0,0,0,0,0,0,0,0,5,61,0,0,81,3,3,230000
Homicide Unit,16,500,2050,Marshfield,122456.03,0,15508.93,62322.92,0,424,30614.13,231326.01,sgtdet,3,0,1,0,0,0,0,1,2,3,4,0,4,3,0,1,0,11,230000
Domestic Violence Unit,34,,2155,Medford,126631.85,0,18795.15,54606.1,0,0,31383.77,231416.87,sgtdet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,230000
Homicide Unit,29,,2090,Westwood,113707.18,0,4916.31,112922.57,0,0,0,231546.06,det,3,1,0,0,0,0,0,1,1,2,2,0,4,2,0,0,5,2,230000
S.O.R.I. Unit,32,,2090,Westwood,127414.81,0,12964.97,65766.37,0,0,25482.99,231629.14,sgtdet,2,0,0,0,0,0,0,1,1,10,15,0,1,10,0,0,0,6,230000
Video Evidence Unit,31,,2048,Mansfield,130855.64,0,16573.27,47733.76,0,10600,26171.26,231933.93,sgtdet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,2,230000
District 04,25,918,2035,Foxboro,98315.7,0,3259.81,26777.95,0,79212,24579.02,232144.48,ptl,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,223,0,2,230000
School Police,26,6472,2136,Hyde Park,106389.6,0,16106.93,41712.94,0,68126,0,232335.47,ptl,2,0,0,0,0,0,0,2,3,5,7,1,50,5,0,199,0,6,230000
District 13,29,,2050,Marshfield,98998.27,0,3011.51,16186.76,0,94484,19799.56,232480.1,ptl,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,263,0,53,230000
Domestic Violence Unit,23,,2132,West Roxbury,129681.93,0,7795.83,66149.28,0,3816,25107.01,232550.05,sgtdet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,235000
Sexual Assault Unit,37,,2119,Boston,72311.39,0,16091.63,30098.35,57113.33,31588,25627.21,232829.91,sgtdet,5,1,2,0,0,0,0,2,5,3,6,3,0,3,0,83,0,2,235000
Bicycle Unit,16,66,2038,Franklin,123201.48,0,5675.7,65848.61,0,38160,0,232885.79,sergt,1,0,0,0,0,0,0,0,0,3,4,3,4,3,0,93,0,3,235000
Special Events Management,31,,2726,Somerset,125534.33,0,7287.07,65424.4,0,3339,31383.77,232968.57,sgtdet,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,8,235000
District 06,33,,2127,Boston,97004.15,0,7782.1,82401.18,0,21620,24251.02,233058.45,ptl,1,0,0,0,0,0,0,0,0,2,2,2,133,2,0,63,10,2,235000
Homicide Unit,25,,2122,Boston,117412.1,0,4790.71,110691.36,0,368,0,233262.17,sgtdet,3,0,1,0,0,0,0,1,1,15,17,6,60,15,0,0,0,3,235000
District 01,10,,2122,Boston,90223.06,0,4023.76,9077.63,0,111964,18044.62,233333.07,ptl,2,0,0,0,0,0,0,0,0,5,6,188,35,5,0,336,13,0,235000
Medically Incapacitated Unit,22,1623,1880,Wakefield,132154.06,0,989.29,30711.93,0,69695,0,233550.28,sergt,2,0,0,0,0,0,0,2,2,5,6,0,1,5,0,161,0,0,235000
District 11,25,1946,2127,Boston,137622.16,0,9103.21,50015.65,0,2915,34267.29,233923.31,lieut,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,9,0,4,235000
District 05,26,4225,2332,Duxbury,98315.7,0,9585.02,15819.61,0,85652,24579.02,233951.35,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,29,235000
District 14,34,5194,2139,Cambridge,106524.44,0,10415.28,49819.86,0,67712,0,234471.58,ptl,3,0,1,0,0,0,0,4,4,8,8,0,400,8,0,186,1,0,235000
